Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,table_name,industry,CES
2014,1019.43,1024.91,1038.02,1033.18,1035.13,1040.13,1045.07,1045.14,1048.27,1047.54,1052.57,1050.62,Construction_CES2000000011,Construction,CES2000000011
2015,1055.73,1071.24,1067.81,1063.92,1062.75,1071.73,1069.78,1078.39,1061.18,1084.29,1081.9,1093.75,Construction_CES2000000011,Construction,CES2000000011
2016,1087.04,1082.25,1084.14,1093.63,1095.12,1099.49,1102.62,1099.8,1105.83,1114.06,1111.32,1111.61,Construction_CES2000000011,Construction,CES2000000011
2017,1110.6,1111.5,1114.1,1117.87,1126.22,1129.99,1129.05,1129.83,1136.07,1141.11,1153.8,1145.24,Construction_CES2000000011,Construction,CES2000000011
2018,1139.94,1160.53,1159.74,1168.21,1173.15,1169.18,1182.24,1173.39,1180.82,1176.34,1177.89,1197.47,Construction_CES2000000011,Construction,CES2000000011
2019,1204.5,1174.6,1199.83,1194.57,1199.98,1209.58,1200.76,1212.8,1230.22,1217.12,1213.68,1210.17,Construction_CES2000000011,Construction,CES2000000011
2020,1217.97,1226.96,1224.6,1194.05,1219.87,1232.01,1237.86,1244.16,1238.19,1244.1,1251.2,1250.73,Construction_CES2000000011,Construction,CES2000000011
2021,1259.02,1233.1,1269.86,1279.22,1275.69,1270.52,1280.98,1286.42,1316.3,1291.81,1307.5,1320.48,Construction_CES2000000011,Construction,CES2000000011
2022,1305.92,1334.24,1320.83,1335.05,1346.67,1344.44,1349.08,1350.63,1357.21,1371.61,1364.06,1378.49,Construction_CES2000000011,Construction,CES2000000011
2023,1399.44,1398.54,1400.01,1405.46,1410.51,1418.82,1430.13,1437.32,1440.44,1450.79,1462.35,1455.09,Construction_CES2000000011,Construction,CES2000000011
2014,1072.71,1076.56,1082.2,1079.71,1084.93,1089.5,1086.89,1088.55,1086.89,1089.79,1093.25,1087.16,Durable goods_CES3100000011,Durable goods,CES3100000011
2015,1088.82,1089.91,1089.33,1090.15,1089.97,1087.32,1092.85,1101.28,1094.7,1096.34,1105.4,1103.54,Durable goods_CES3100000011,Durable goods,CES3100000011
2016,1111.16,1110.93,1113.81,1120.64,1125.17,1125.17,1125.58,1128.61,1129.29,1135.88,1131.07,1137.12,Durable goods_CES3100000011,Durable goods,CES3100000011
2017,1141.12,1140.0,1140.42,1148.14,1146.9,1148.55,1156.72,1150.21,1153.6,1162.42,1162.42,1158.05,Durable goods_CES3100000011,Durable goods,CES3100000011
2018,1161.02,1165.0,1165.49,1173.21,1165.14,1173.69,1176.17,1176.22,1175.85,1176.67,1179.57,1184.91,Durable goods_CES3100000011,Durable goods,CES3100000011
2019,1180.39,1182.83,1187.36,1186.54,1191.46,1198.89,1193.87,1198.43,1201.3,1198.3,1206.14,1211.87,Durable goods_CES3100000011,Durable goods,CES3100000011
2020,1210.13,1215.55,1213.67,1164.62,1184.18,1173.78,1207.2,1223.51,1226.75,1232.62,1238.3,1232.6,Durable goods_CES3100000011,Durable goods,CES3100000011
2021,1241.76,1239.47,1249.08,1249.43,1259.01,1257.25,1269.56,1270.89,1279.31,1279.8,1289.46,1299.14,Durable goods_CES3100000011,Durable goods,CES3100000011
2022,1298.05,1309.21,1319.79,1325.16,1325.59,1321.94,1326.41,1328.86,1332.93,1341.5,1340.21,1336.1,Durable goods_CES3100000011,Durable goods,CES3100000011
2023,1356.24,1352.05,1361.42,1363.75,1374.85,1382.17,1385.68,1390.72,1394.2,1396.04,1398.41,1407.68,Durable goods_CES3100000011,Durable goods,CES3100000011
2014,1126.36,1133.11,1137.58,1134.15,1141.01,1144.27,1144.64,1147.99,1152.2,1153.69,1162.77,1160.52,Financial activities_CES5500000011,Financial activities,CES5500000011
2015,1164.64,1167.25,1173.75,1179.51,1186.66,1188.68,1187.55,1188.16,1193.96,1195.09,1194.18,1198.48,Financial activities_CES5500000011,Financial activities,CES5500000011
2016,1213.38,1201.7,1209.22,1212.81,1207.88,1205.63,1221.86,1217.63,1221.0,1215.87,1219.61,1221.48,Financial activities_CES5500000011,Financial activities,CES5500000011
2017,1217.47,1226.35,1221.58,1230.09,1230.46,1241.18,1242.43,1250.25,1255.5,1265.63,1266.74,1278.4,Financial activities_CES5500000011,Financial activities,CES5500000011
2018,1285.13,1286.3,1290.0,1294.57,1301.34,1305.55,1307.35,1311.86,1321.64,1323.76,1325.78,1332.32,Financial activities_CES5500000011,Financial activities,CES5500000011
2019,1335.33,1337.97,1340.24,1341.94,1345.33,1344.75,1351.34,1362.86,1359.09,1358.49,1371.9,1372.4,Financial activities_CES5500000011,Financial activities,CES5500000011
2020,1378.04,1387.06,1390.45,1403.61,1417.52,1417.88,1419.02,1437.82,1439.7,1458.24,1463.14,1477.22,Financial activities_CES5500000011,Financial activities,CES5500000011
2021,1479.73,1494.05,1500.84,1501.37,1512.27,1508.89,1511.52,1504.5,1507.13,1519.13,1525.5,1525.88,Financial activities_CES5500000011,Financial activities,CES5500000011
2022,1532.63,1534.08,1544.98,1550.25,1546.13,1551.35,1557.34,1563.75,1569.3,1574.63,1573.79,1584.64,Financial activities_CES5500000011,Financial activities,CES5500000011
2023,1589.5,1592.12,1598.85,1598.1,1608.2,1617.92,1628.4,1641.49,1649.34,1646.42,1659.06,1664.67,Financial activities_CES5500000011,Financial activities,CES5500000011
2014,1025.1,1030.73,1037.74,1033.84,1040.58,1043.83,1041.26,1043.69,1043.28,1045.71,1048.7,1048.29,Goods-producing_CES0600000011,Goods-producing,CES0600000011
2015,1049.76,1054.79,1052.42,1050.62,1052.23,1052.23,1057.27,1065.15,1056.86,1064.94,1066.74,1068.98,Goods-producing_CES0600000011,Goods-producing,CES0600000011
2016,1071.81,1068.52,1069.87,1079.64,1080.98,1081.78,1083.39,1085.8,1088.91,1095.76,1091.83,1097.37,Goods-producing_CES0600000011,Goods-producing,CES0600000011
2017,1098.26,1098.26,1100.27,1105.43,1109.79,1112.21,1116.66,1111.88,1117.52,1123.47,1128.27,1124.33,Goods-producing_CES0600000011,Goods-producing,CES0600000011
2018,1122.38,1135.99,1135.22,1140.45,1141.27,1143.7,1146.14,1146.15,1147.36,1145.73,1148.95,1158.71,Goods-producing_CES0600000011,Goods-producing,CES0600000011
2019,1159.54,1150.87,1162.31,1160.24,1164.27,1169.98,1166.2,1172.73,1178.47,1175.85,1176.53,1178.0,Goods-producing_CES0600000011,Goods-producing,CES0600000011
2020,1179.6,1187.36,1187.6,1153.64,1171.28,1173.26,1189.58,1199.57,1198.38,1205.6,1209.6,1208.17,Goods-producing_CES0600000011,Goods-producing,CES0600000011
2021,1216.63,1205.42,1224.09,1232.13,1236.68,1234.11,1242.8,1246.4,1259.06,1251.31,1264.35,1273.54,Goods-producing_CES0600000011,Goods-producing,CES0600000011
2022,1262.84,1285.57,1284.8,1287.6,1292.8,1293.16,1300.0,1300.74,1305.13,1315.2,1310.5,1315.66,Goods-producing_CES0600000011,Goods-producing,CES0600000011
2023,1338.66,1335.6,1339.04,1342.06,1350.62,1358.6,1363.95,1369.77,1374.95,1379.34,1383.85,1386.32,Goods-producing_CES0600000011,Goods-producing,CES0600000011
2014,1225.78,1230.59,1242.79,1246.78,1245.6,1247.69,1253.92,1259.54,1262.85,1258.44,1258.67,1256.33,Information_CES5000000011,Information,CES5000000011
2015,1260.35,1260.9,1262.72,1261.06,1266.51,1268.32,1270.5,1282.12,1274.04,1283.36,1287.72,1290.96,Information_CES5000000011,Information,CES5000000011
2016,1308.62,1302.45,1296.35,1305.0,1316.52,1311.07,1318.32,1320.04,1324.96,1349.64,1347.48,1354.47,Information_CES5000000011,Information,CES5000000011
2017,1385.23,1362.21,1361.12,1385.38,1382.12,1393.34,1400.22,1389.6,1391.66,1393.1,1391.76,1406.37,Information_CES5000000011,Information,CES5000000011
2018,1398.31,1409.4,1419.45,1420.2,1422.36,1421.57,1432.44,1449.78,1470.44,1475.77,1489.27,1516.21,Information_CES5000000011,Information,CES5000000011
2019,1509.9,1510.63,1527.5,1513.88,1528.07,1529.16,1524.5,1567.31,1541.03,1541.18,1547.83,1541.11,Information_CES5000000011,Information,CES5000000011
2020,1550.81,1561.26,1569.61,1592.5,1597.59,1587.02,1596.34,1617.37,1614.8,1649.8,1646.87,1641.3,Information_CES5000000011,Information,CES5000000011
2021,1663.88,1659.49,1636.85,1646.84,1643.12,1642.05,1647.24,1639.47,1631.34,1654.6,1646.43,1665.0,Information_CES5000000011,Information,CES5000000011
2022,1659.31,1679.8,1684.24,1686.7,1689.67,1709.73,1710.95,1728.64,1748.75,1748.39,1750.21,1748.38,Information_CES5000000011,Information,CES5000000011
2023,1752.79,1751.27,1754.84,1745.07,1745.56,1760.4,1758.48,1768.06,1763.22,1768.17,1779.23,1782.69,Information_CES5000000011,Information,CES5000000011
2014,355.94,354.23,360.25,360.51,360.96,362.79,363.57,367.67,367.59,368.9,369.68,371.62,Leisure and hospitality_CES7000000011,Leisure and hospitality,CES7000000011
2015,372.15,372.67,372.56,373.61,374.66,376.09,374.92,375.71,378.19,379.51,378.85,381.88,Leisure and hospitality_CES7000000011,Leisure and hospitality,CES7000000011
2016,382.26,383.31,382.89,384.71,386.02,387.85,389.41,389.48,393.52,392.08,394.63,392.64,Leisure and hospitality_CES7000000011,Leisure and hospitality,CES7000000011
2017,395.72,395.75,399.36,403.48,403.0,402.22,402.74,404.04,405.34,406.38,409.51,410.03,Leisure and hospitality_CES7000000011,Leisure and hospitality,CES7000000011
2018,409.76,410.81,411.84,412.88,414.21,415.77,417.6,420.25,417.82,419.64,419.84,425.17,Leisure and hospitality_CES7000000011,Leisure and hospitality,CES7000000011
2019,423.28,426.4,428.82,426.57,425.96,428.65,428.28,428.28,431.75,430.34,432.15,432.41,Leisure and hospitality_CES7000000011,Leisure and hospitality,CES7000000011
2020,434.21,436.02,404.39,436.08,451.7,438.19,431.46,436.39,443.3,443.3,437.16,432.82,Leisure and hospitality_CES7000000011,Leisure and hospitality,CES7000000011
2021,441.01,442.98,461.91,475.08,478.86,488.4,493.96,489.11,495.44,503.83,507.85,510.48,Leisure and hospitality_CES7000000011,Leisure and hospitality,CES7000000011
2022,495.72,507.26,514.02,516.88,515.74,518.58,521.93,520.19,523.51,524.29,525.3,528.87,Leisure and hospitality_CES7000000011,Leisure and hospitality,CES7000000011
2023,531.97,532.99,532.89,533.07,535.35,539.75,536.51,539.65,548.18,549.38,551.17,557.02,Leisure and hospitality_CES7000000011,Leisure and hospitality,CES7000000011
2014,1004.07,1006.51,1013.93,1010.64,1016.81,1020.51,1015.96,1020.49,1015.55,1021.31,1024.62,1021.72,Manufacturing_CES3000000011,Manufacturing,CES3000000011
2015,1022.09,1024.14,1024.08,1024.9,1023.61,1020.68,1029.38,1037.63,1031.24,1035.0,1038.26,1036.52,Manufacturing_CES3000000011,Manufacturing,CES3000000011
2016,1042.73,1044.36,1048.43,1052.91,1056.98,1057.79,1058.61,1063.49,1063.49,1072.22,1065.75,1071.22,Manufacturing_CES3000000011,Manufacturing,CES3000000011
2017,1076.71,1075.29,1072.65,1083.24,1082.02,1085.49,1090.8,1084.87,1087.1,1096.34,1096.75,1092.22,Manufacturing_CES3000000011,Manufacturing,CES3000000011
2018,1095.89,1101.26,1101.44,1104.95,1102.26,1107.82,1107.41,1107.57,1106.5,1108.13,1112.21,1116.57,Manufacturing_CES3000000011,Manufacturing,CES3000000011
2019,1113.02,1114.88,1119.25,1115.28,1119.75,1126.58,1119.89,1125.09,1128.33,1124.77,1134.81,1140.48,Manufacturing_CES3000000011,Manufacturing,CES3000000011
2020,1139.28,1145.75,1145.33,1111.88,1123.85,1121.39,1143.36,1160.09,1161.38,1166.75,1169.1,1166.6,Manufacturing_CES3000000011,Manufacturing,CES3000000011
2021,1176.12,1173.84,1180.08,1184.53,1196.78,1194.9,1206.9,1206.75,1212.4,1214.24,1220.89,1226.54,Manufacturing_CES3000000011,Manufacturing,CES3000000011
2022,1225.46,1238.71,1243.98,1247.4,1246.74,1243.66,1250.78,1255.23,1254.94,1261.79,1262.68,1262.75,Manufacturing_CES3000000011,Manufacturing,CES3000000011
2023,1283.04,1277.91,1282.78,1285.61,1290.42,1300.44,1307.66,1308.46,1314.08,1314.0,1319.09,1322.55,Manufacturing_CES3000000011,Manufacturing,CES3000000011
2014,1355.09,1371.33,1377.81,1388.7,1380.82,1393.65,1380.78,1388.31,1382.98,1377.21,1362.53,1387.73,Mining and logging_CES1000000011,Mining and logging,CES1000000011
2015,1368.19,1364.86,1357.84,1345.97,1358.58,1353.83,1368.8,1369.04,1384.17,1377.07,1388.12,1389.65,Mining and logging_CES1000000011,Mining and logging,CES1000000011
2016,1390.53,1373.91,1367.89,1376.43,1384.37,1378.58,1382.4,1379.94,1393.59,1407.56,1401.29,1400.59,Mining and logging_CES1000000011,Mining and logging,CES1000000011
2017,1413.14,1431.66,1448.21,1439.18,1448.27,1436.44,1468.32,1438.15,1450.51,1457.82,1465.58,1466.5,Mining and logging_CES1000000011,Mining and logging,CES1000000011
2018,1459.44,1487.65,1488.5,1482.51,1491.8,1509.39,1486.24,1497.76,1505.52,1494.05,1502.31,1508.39,Mining and logging_CES1000000011,Mining and logging,CES1000000011
2019,1517.21,1527.9,1535.38,1552.25,1553.57,1556.72,1570.03,1569.88,1574.96,1596.21,1570.71,1573.45,Mining and logging_CES1000000011,Mining and logging,CES1000000011
2020,1563.84,1567.21,1556.55,1489.92,1502.04,1517.28,1521.14,1527.91,1527.18,1555.9,1541.25,1553.7,Mining and logging_CES1000000011,Mining and logging,CES1000000011
2021,1566.75,1544.83,1564.03,1575.38,1566.32,1567.99,1570.5,1570.24,1586.41,1578.3,1600.98,1606.34,Mining and logging_CES1000000011,Mining and logging,CES1000000011
2022,1548.35,1613.97,1632.77,1603.75,1631.29,1665.76,1683.47,1679.3,1684.78,1685.71,1692.21,1676.73,Mining and logging_CES1000000011,Mining and logging,CES1000000011
2023,1689.07,1700.55,1703.7,1715.35,1738.89,1738.89,1684.18,1733.18,1741.95,1731.07,1746.08,1763.58,Mining and logging_CES1000000011,Mining and logging,CES1000000011
2014,888.0,888.97,897.88,892.0,899.27,901.69,897.6,903.05,897.2,900.8,911.02,909.57,Nondurable goods_CES3200000011,Nondurable goods,CES3200000011
2015,911.74,914.0,914.15,913.48,912.28,909.2,921.26,927.3,925.6,928.72,929.6,926.88,Nondurable goods_CES3200000011,Nondurable goods,CES3200000011
2016,928.47,932.0,935.26,940.44,947.2,946.43,945.65,951.62,957.6,962.8,957.99,963.19,Nondurable goods_CES3200000011,Nondurable goods,CES3200000011
2017,971.2,969.17,960.7,977.2,973.56,977.64,985.7,977.2,981.2,984.86,988.52,981.54,Nondurable goods_CES3200000011,Nondurable goods,CES3200000011
2018,987.26,993.4,994.15,995.01,994.2,993.74,991.78,994.2,992.14,994.15,998.23,999.44,Nondurable goods_CES3200000011,Nondurable goods,CES3200000011
2019,999.44,1000.09,998.8,997.2,998.3,1001.49,999.65,1002.82,1006.4,1005.44,1011.95,1017.91,Nondurable goods_CES3200000011,Nondurable goods,CES3200000011
2020,1020.29,1028.03,1035.6,1025.67,1030.97,1031.55,1043.31,1053.24,1056.29,1059.44,1058.15,1056.69,Nondurable goods_CES3200000011,Nondurable goods,CES3200000011
2021,1064.0,1070.0,1069.2,1080.44,1091.03,1093.84,1099.07,1102.21,1102.75,1110.77,1106.4,1112.78,Nondurable goods_CES3200000011,Nondurable goods,CES3200000011
2022,1108.42,1122.8,1120.8,1121.99,1119.97,1117.56,1125.89,1129.92,1129.47,1136.61,1137.31,1136.56,Nondurable goods_CES3200000011,Nondurable goods,CES3200000011
2023,1159.77,1150.64,1156.56,1159.54,1156.21,1167.38,1171.05,1171.05,1178.35,1181.36,1184.23,1179.75,Nondurable goods_CES3200000011,Nondurable goods,CES3200000011
2014,689.79,690.43,692.87,697.33,695.78,696.45,695.52,701.83,701.83,702.78,704.69,705.32,Other services_CES8000000011,Other services,CES8000000011
2015,707.54,710.09,709.78,710.41,713.27,716.45,716.47,719.66,720.94,722.22,722.85,724.77,Other services_CES8000000011,Other services,CES8000000011
2016,728.96,726.36,729.55,731.15,732.74,736.64,738.56,740.48,739.12,746.56,743.91,746.14,Other services_CES8000000011,Other services,CES8000000011
2017,747.94,750.48,749.07,753.02,753.98,757.31,758.43,760.34,760.3,763.97,765.87,769.88,Other services_CES8000000011,Other services,CES8000000011
2018,766.62,768.41,769.14,772.53,776.02,777.51,777.51,784.74,788.89,791.44,792.72,794.31,Other services_CES8000000011,Other services,CES8000000011
2019,798.78,798.78,798.14,798.78,799.13,802.6,803.56,806.43,804.86,809.94,812.49,812.49,Other services_CES8000000011,Other services,CES8000000011
2020,816.96,818.87,807.85,896.33,898.27,870.59,857.39,858.21,858.86,860.22,866.05,869.94,Other services_CES8000000011,Other services,CES8000000011
2021,879.22,874.87,889.0,889.85,895.38,892.13,891.62,897.41,899.02,906.98,911.41,910.29,Other services_CES8000000011,Other services,CES8000000011
