"country","europeanUnionCountries_schengen","europeanUnionCountries_eurozone","europeanUnionCountries_accessionDate"
"Germany","yes","yes","3/25/1957"
"France","yes","yes","3/25/1957"
"Italy","yes","yes","3/25/1957"
"Spain","yes","yes","1/1/1986"
"Poland","yes","no","5/1/2004"
"Romania","no","no","1/1/2007"
"Netherlands","yes","yes","3/25/1957"
"Belgium","yes","yes","3/25/1957"
"Sweden","yes","no","1/1/1995"
"Czech Republic","yes","no","5/1/2004"
"Greece","yes","yes","1/1/1981"
"Portugal","yes","yes","1/1/1986"
"Hungary","yes","no","5/1/2004"
"Austria","yes","yes","1/1/1995"
"Bulgaria","no","no","1/1/2007"
"Denmark","yes","no","1/1/1973"
"Slovakia","yes","yes","5/1/2004"
"Finland","yes","yes","1/1/1995"
"Ireland","no","yes","1/1/1973"
"Croatia","yes","yes","7/1/2013"
"Lithuania","yes","yes","5/1/2004"
"Slovenia","yes","yes","5/1/2004"
"Latvia","yes","yes","5/1/2004"
"Estonia","yes","yes","5/1/2004"
"Cyprus","no","yes","5/1/2004"
"Luxembourg","yes","yes","3/25/1957"
"Malta","yes","yes","5/1/2004"